Name,Url,Table,SI
Аббасов Меджид Эльхан оглы,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/193-abbasov-medzhid-elkhan-ogly.html,Математической теории микропроцессорных систем управления,https://www.elibrary.ru/author_items.asp?authorid=564128&show_refs=1
Александров Александр Юрьевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/195-aleksandrov-aleksandr-yurevich.html,Управления медико-биологическими системами,https://www.elibrary.ru/author_items.asp?authorid=8581&show_refs=1
Алисейко Алексей Николаевич,,Теории управления,https://www.elibrary.ru/author_profile.asp?id=994608
"Аллахвердян, Александр Львович",,Кафедра математического моделирования энергетических систем,
Алферов Геннадий Викторович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/198-alfjorov-gennadij-viktorovich.html,Механики управляемого движения,https://www.elibrary.ru/author_items.asp?authorid=2873&show_refs=1
Андреева Татьяна Анатольевна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/200-andreeva-tatyana-anatolevna.html,Моделирования электромеханических и компьютерных систем,https://www.elibrary.ru/author_items.asp?authorid=829489&pubrole=100&show_refs=1&pubcat=risc
Андриянова Наталья Романовна,,Управления медико-биологическими системами,https://www.elibrary.ru/author_items.asp?authorid=1016319&pubrole=100&show_refs=1&pubcat=risc
Антонов Андрей Юрьевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/202-antonov-andrej-yurevich.html,Моделирования электромеханических и компьютерных систем,https://www.elibrary.ru/author_items.asp?authorid=157332&show_refs=1
Бабушкин Максим Владимирович,,Высшей математики,
Балыкина Юлия Ефимовна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/204-balykina-yuliya-efimovna.html,Математического моделирования энергетических систем,https://www.elibrary.ru/author_items.asp?authorid=698959&show_refs=1
Басков Олег Владимирович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/205-baskov-oleg-vladimirovich.html,Высшей математики,https://www.elibrary.ru/author_items.asp?authorid=671135&show_refs=1
Башкиров Михаил Дмитриевич,,Математического моделирования энергетических систем,
Бедрина Марина Евгеньевна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/206-bedrina-marina-evgenevna.html,Моделирования электромеханических и компьютерных систем,https://www.elibrary.ru/author_items.asp?authorid=53307&show_refs=1
Бикбулатов Даниил Ильфатович,,Прикладной математики - процессов управления,
"Билятдинов, Камиль Закирович",,Кафедра компьютерного моделирования и многопроцессорных систем,
Блеканов Иван Станиславович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/207-blekanov-ivan-stanislavovich.html,Технологии программирования,https://www.elibrary.ru/author_items.asp?authorid=700009&show_refs=1
Богданов Александр Владимирович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/208-bogdanov-aleksandr-vladimirovich.html,Фундаментальной информатики и распределенных систем,https://www.elibrary.ru/author_items.asp?orgsid=190
Бондаренко Артем Борисович,,Математического моделирования энергетических систем,
Бочкарёв Анатолий Олегович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/210-bochkarjov-anatolij-olegovich.html,Высшей математики,https://www.elibrary.ru/author_items.asp?authorid=6831&show_refs=1
Булгакова Мария Александровна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/211-bulgakova-mariya-aleksandrovna.html,Математической теории игр и статистических решений,https://www.elibrary.ru/author_items.asp?authorid=867452&pubrole=100&show_refs=1&pubcat=risc
Буре Владимир Мансурович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/212-bure-vladimir-mansurovich.html,Математической теории игр и статистических решений,https://www.elibrary.ru/author_items.asp?authorid=15814&show_refs=1
Бусько Илья Владимирович,,Компьютерного моделирования и многопроцессорных систем,https://www.elibrary.ru/author_items.asp?authorid=1256692&pubrole=100&show_refs=1&pubcat=risc
"Бутырский, Евгений Юрьевич",,Кафедра теории управления,https://www.elibrary.ru/author_items.asp?authorid=559042&pubrole=100&show_refs=1&pubcat=risc
"Быкова, Мария Сергеевна",,Институт теологии СПбГУ,
Вараюнь Марина Ивановна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/215-varayun-marina-ivanovna.html,Моделирования электромеханических и компьютерных систем,https://www.elibrary.ru/author_items.asp?authorid=15363&show_refs=1
