TestName,Algorithm,Parameter,NumNodes,NumEdges,Communities,Potential,Modularity,Iterations,ConvergedAt,ExecutionTime,Timestamp
Hedonic_Game,Hedonic,0.100000,168,665,21,223.600000,0.304333,4,4,0.0826,2025-12-19T21:05:18+03:00
Hedonic_Game,Hedonic,0.300000,168,665,21,84.100000,0.317411,8,8,0.1397,2025-12-19T21:05:18+03:00
Hedonic_Game,Hedonic,0.500000,168,665,21,-46.000000,0.295950,6,6,0.1040,2025-12-19T21:05:18+03:00
Hedonic_Game,Hedonic,0.700000,168,665,21,-161.100000,0.305053,13,13,0.2154,2025-12-19T21:05:18+03:00
Hedonic_Game,Hedonic,0.900000,168,665,21,-284.900000,0.306879,10,10,0.1687,2025-12-19T21:05:18+03:00
Maximum_Likelihood,ML_beta_0.1,0.200000,168,665,14,-126.600000,0.112125,50,50,1.0843,2025-12-19T21:05:19+03:00
Maximum_Likelihood,ML_beta_0.5,0.200000,168,665,24,-17.000000,0.151659,50,50,0.9251,2025-12-19T21:05:20+03:00
Maximum_Likelihood,ML_beta_1.0,0.200000,168,665,25,82.200000,0.243835,50,50,0.8249,2025-12-19T21:05:21+03:00
Maximum_Likelihood,ML_beta_0.1,0.500000,168,665,23,-291.500000,0.114147,50,50,1.0072,2025-12-19T21:05:22+03:00
Maximum_Likelihood,ML_beta_0.5,0.500000,168,665,32,-142.000000,0.151387,50,50,0.8950,2025-12-19T21:05:23+03:00
Maximum_Likelihood,ML_beta_1.0,0.500000,168,665,38,-91.000000,0.174744,50,50,0.7924,2025-12-19T21:05:24+03:00
Maximum_Likelihood,ML_beta_0.1,0.800000,168,665,23,-589.400000,0.118645,50,50,0.9620,2025-12-19T21:05:25+03:00
Maximum_Likelihood,ML_beta_0.5,0.800000,168,665,36,-274.400000,0.142043,50,50,0.8855,2025-12-19T21:05:26+03:00
Maximum_Likelihood,ML_beta_1.0,0.800000,168,665,53,-149.800000,0.147486,50,50,0.8006,2025-12-19T21:05:27+03:00
