Graph,Nodes,Edges,Gamma,Iterations,Modularity,Silhouette,Communities,Duration
Teachers Network,88,115,0.1,3,0.6310,0.3663,17,0s
Teachers Network,88,115,0.1,3,0.6116,0.3979,18,0s
Teachers Network,88,115,0.1,4,0.6228,0.3544,16,0s
Teachers Network,88,115,0.1,3,0.6278,0.3803,17,19.1µs
Teachers Network,88,115,0.1,3,0.6398,0.3803,17,518.3µs
Teachers Network,88,115,0.1,2,0.5665,0.3669,18,0s
Teachers Network,88,115,0.1,2,0.6294,0.3755,17,523.3µs
Teachers Network,88,115,0.1,3,0.6050,0.3561,17,0s
Teachers Network,88,115,0.1,3,0.6139,0.3866,18,528.3µs
Teachers Network,88,115,0.1,3,0.6276,0.3589,17,0s
Teachers Network,88,115,0.2,3,0.5352,0.3479,18,0s
Teachers Network,88,115,0.2,2,0.6060,0.3883,18,519.4µs
Teachers Network,88,115,0.2,2,0.6399,0.3584,16,0s
Teachers Network,88,115,0.2,2,0.6299,0.3959,18,0s
Teachers Network,88,115,0.2,3,0.6153,0.4073,19,0s
Teachers Network,88,115,0.2,3,0.6273,0.3522,16,0s
Teachers Network,88,115,0.2,2,0.6149,0.3319,16,1.0009ms
Teachers Network,88,115,0.2,4,0.5950,0.4337,21,0s
Teachers Network,88,115,0.2,4,0.6450,0.3466,16,0s
Teachers Network,88,115,0.2,3,0.5530,0.3644,18,999.9µs
Teachers Network,88,115,0.3,2,0.6054,0.3992,19,0s
Teachers Network,88,115,0.3,3,0.6010,0.3321,16,0s
Teachers Network,88,115,0.3,3,0.6107,0.3668,17,0s
Teachers Network,88,115,0.3,3,0.6233,0.3884,18,0s
Teachers Network,88,115,0.3,3,0.6003,0.4468,21,0s
Teachers Network,88,115,0.3,3,0.6107,0.3860,18,0s
Teachers Network,88,115,0.3,2,0.6098,0.4329,20,999.9µs
Teachers Network,88,115,0.3,2,0.6118,0.3508,17,0s
Teachers Network,88,115,0.3,3,0.5998,0.4370,21,0s
Teachers Network,88,115,0.3,2,0.6276,0.3422,16,1.0003ms
Teachers Network,88,115,0.5,3,0.6250,0.3791,17,0s
Teachers Network,88,115,0.5,3,0.6291,0.3553,16,0s
Teachers Network,88,115,0.5,3,0.6369,0.3370,15,0s
Teachers Network,88,115,0.5,3,0.5797,0.3524,17,1.0006ms
Teachers Network,88,115,0.5,3,0.6289,0.3503,16,0s
Teachers Network,88,115,0.5,3,0.5991,0.4205,19,0s
Teachers Network,88,115,0.5,2,0.6100,0.3700,17,999µs
Teachers Network,88,115,0.5,3,0.6385,0.3520,16,0s
Teachers Network,88,115,0.5,3,0.6144,0.3668,17,0s
Teachers Network,88,115,0.5,2,0.6281,0.3728,17,0s
Teachers Network,88,115,0.7,3,0.5975,0.3917,19,0s
Teachers Network,88,115,0.7,3,0.6448,0.3540,16,0s
Teachers Network,88,115,0.7,3,0.6360,0.3749,17,0s
Teachers Network,88,115,0.7,3,0.6039,0.3600,18,0s
Teachers Network,88,115,0.7,3,0.6080,0.4326,20,0s
Teachers Network,88,115,0.7,3,0.5973,0.4182,20,1.0013ms
Teachers Network,88,115,0.7,3,0.5845,0.4155,20,0s
Teachers Network,88,115,0.7,2,0.6283,0.3789,17,0s
Teachers Network,88,115,0.7,4,0.6296,0.3525,16,0s
Teachers Network,88,115,0.7,2,0.6425,0.3614,16,0s
Teachers Network,88,115,1.0,2,0.6336,0.3343,15,0s
Teachers Network,88,115,1.0,3,0.6369,0.3483,16,0s
Teachers Network,88,115,1.0,3,0.6011,0.3711,17,0s
Teachers Network,88,115,1.0,3,0.6241,0.3745,17,0s
Teachers Network,88,115,1.0,2,0.6086,0.3838,18,0s
Teachers Network,88,115,1.0,3,0.5953,0.3744,18,0s
Teachers Network,88,115,1.0,4,0.6271,0.4234,19,0s
Teachers Network,88,115,1.0,2,0.6107,0.4006,19,0s
Teachers Network,88,115,1.0,3,0.6022,0.3927,19,0s
Teachers Network,88,115,1.0,3,0.6242,0.3646,17,0s
